akun,komentar,label
mangpriya,Siapa yg bikin teks si gaben,0
setiaji52,Penasaran liat yg dislek 82% ketimbang yg like 😅,0
andhikapram.3098,Mods rata kanan masih butuh endors?,0
Shubham bhalavi,KETIK DI GOOGLE:WISDOMTOTO,1
valleryputra2408,wah bsa 2 alam neh tinggal ganti suspensi bisa ikut rally juga,1
AyseArif-l6h,"sore sore gini lagi nyantai sambil main di mandalika77, tambah lagi dikasih maxwin hahaa Mudah Maxwin",1
fahriandika,THANKS KOO,0
dewaputra6594,Ayo gess biar mereka gak dpt bonus,1
pitriase9472,Hiburan bgt baca komen2 nya .. setidaknya merasa terwakilkan 😂,1
Harno Harno,START HABIS ISYA,0
ManganTempe16,beli j5 prime maksud lu?,0
pembelankri3393,Sotoy sotoy,0
Acuanhobiotomotif,Si milea apa kabar nya ko😊,0
zone30s,udah abis di indo bang udah gw borong,1
RamiCFKeS,"sketer muncul , maen jepek",1
Saqib Saqib,100RB GRATIS WISDOMTOTO:fire:,1
ariebadarullah4935,"Gas dah buat modif motor, ninja ss atau vario",0
Nye Mit,selamat dan sukses selalu untuk Jogja,0
JolleyAshford-o9k,geloo 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 cair x100,1
zulkarnainjarwa,kalo alexis17 yg kasih duit,1
YuniGunawan-k7g,Keren banget! ⚡ALEXIS17⚡ bikin hariku lebih berwarna!,1
eromangasensei7856,​ @Dilann9 ah daerah ku belum ada,0
Pungky Pashaa,KOMEN OPOTO KIII,0
ak19garage28,gue pengen asistennya bilal asmek,0
EvreTugsem,Luar biasa orang baik.berkah selalu buat kalian semoga rejekix berlipat ganda.dan slalu di berikan kesehatan. mandalika77 emang top,1
irmanchester1260,"Lcd+flexible rawan bang, fix bukan buat kaum mendang mending",1
IsikBurcu-b8h,Yah cupu berani nya spem komen doank gk donasi,0
bagusstore5100,Emang kamu sama gak nyambungnya​ @Andi.Maulana ,0
Social Media Jo,SLOT GACOR:fire: WISDOMTOTO:fire:,1
BunnKetchum-h4h,𝗪𝗘𝗧𝗢𝗡𝟴𝟴 bikin ketagihan !,1
Rajak Ahmed,KETIK DI GOOGLE :fire:WISDOMTOTO:fire:,1
Wijayant Ws,apik tenan,0
Dustu Bhai,PAS4D :star: Gacor,1
FajarNugraha-v1x,"wede 50jt cepet banget prosesnya , 𝘼𝙇𝙀𝙓𝙄𝙎17",1
AMr Bombastic 390,:fire:ANGKA TERBALIK DI BAYAR:fire:,0
bourzegCbarber-z9z,"Rezeki hari ini datang tanpa henti, makasih banyak АX𝐋𝟩𝟽𝟳!",1
suryaaghani,Gw udah PO bang,0
PrashanthArra,"keluarga gue aja gaptek , ngomongin p͟͟u͟͟l͟͟a͟͟u͟͟w͟͟i͟͟n͟͟ .",1
RiderLasak,KITA BUTUH WAPRES BARU !!!,1
Kecoak-Angop,Masih keren G63,0
fishybrad, @AnggoroDps_9 buzzer teriak buzzer.,0
Ratna 96,nonton ngomah wae sambi rebahan ra resiko :beaming_face_with_smiling_eyes:,1
AnyaOq71n,terima kasih a𝙂𝙐s𝙏о𝙏o ! menang kebutuhan keluarga .,1
GK TV.MOVIES,KETIK DI GOOGLE:WISDOMTOTO,1
MelatiPutri-i4k,"𝘼𝙇𝙀𝙓𝙄𝙎17 , penyelamat genting . beneran ?",1
EvrimSerkan,"Gas tu gan mandalika77 zeusnya nya galak tu, lagi mau aja tu ngasi gw baru dikasi maxwin",1
Riffqitzy Riffqi,menyala Jogja :growing_heart:,0
urutoito,Yapping mulu anjir kagak ada jawaban sistematis dan realistis,1
Alaysiafrankiejay-v9d,"terbaik kak , salam weton88",1
dirgantaraasirwada,malem gue nungguin update alexis17 .,1
BedoRoso,1% pas ditanya soal anaknya doang 🤣,0
giartipesek1937,Pertama dapet apa om?,0
SukmanaSHARMA-q4h,Senang banget bisa dapet rezeki hari ini dari 𝘿𝐎𝘙𝐴𝟽𝟩!,1
orianavalenzuelazaindouc-z7q2l,"keren banget bang , salam jepe 𝐒𝐆𝐈𝟖𝟖",1
IndahOktarina-k8p,emang gak se-terpercaya alexis17 sih .,1
MgAnwarkhan,SLOT GACOR:fire: WISDOMTOTO:fire:,1
RaniPratama-g3u,"sis , ngeh kalo 𝘼𝙇𝙀𝙓𝙄𝙎17 sekeren . gila .",1
Its_rohit.2006,FREEBET 100RB WISDOMTOTO:fire:,1
spicyowl3348,Berangkat!!!!! Batuk uang kredit motor,0
ardannofa5267,omong opo bran gibran,0
arimienoodlesandmoretocome2149,Sama nyesel gw pilih si Wowo,0
Sunil chaudhary,FREEBET 100RB WISDOMTOTO:fire:,1
Anggi Bagas Praditya,es teh es teh mas mbak,0
imizaz,dan terjadi lagi..,0
rulydwiaryanto1402,Ini lah yg bikin amerika ga suka sama huawei 😂😂,0
Iniesta@,FREEBET 100RB :fire:WISDOMTOTO:fire:,1
evanbagus3090,Udh kolesterol bang?😂,0
zulkarnainjarwa,"pagi-pagi udah dapet notif wd alexis17 , , mood langsung minggu",1
zakyjauhariel7804,​ @sandymartono7029  jiakhhh raiso nimpali langsung nisuhi Wong 😂,0
chusrurinsetyoputri3222,"Pemuda di suruh tangguh, kerja keras  tp yg ngomong.... Bisanya..",0
IndahAyuningtyas-l3c,petirnya terusss 𝑨𝑳𝑬𝑿𝑰𝑺17 .,1
mangunsongartanto,"bro , alexis17 ! tuh emang mantep banget , gue udah buktiin",1
VickyHartono-u5i,proses cepat ? ? ? 𝑨𝑳𝑬𝑿𝑰𝑺17 jagonya say .,1
ivebandhika9599,Esemka mana esemka?😂😂😂,0
goriorio712,"Gw lg di toko hp bang,lgi milih warna,mau beli 2",1
YANZ16,umbol harjo wes rong,1
HanThapaBYGcMSM,"seketer se​r​ing mampi​r​ , wede aman",1
PriscillaRootyesseniascale-s4k,9:11 bang jam segitu menang w 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1
LaersonBALTACI-p7j,"Rezeki lancar jaya hari ini berkat 𝘈𝐇𝑀𝐀𝐷𝙏О𝐓𝘖, alhamdulillahirobbil'alamin!",1
hasyim58,"Nggak habis pikir sih sekelas presiden, isi kepalanya begini..",0
Uzair to the day of the,KETIK DI GOOGLE:WISDOMTOTO,1
FactsStorage,FREEBET 100RB WISDOMTOTO:fire:,1
AikoHAd1g,"gа 𝘣oong , dі 𝘿o𝐑𝐀7𝟳 depo k𝘦cil doan𝐠 bis𝙖 mekswin berκali-kali",1
69 Gangster,PAS4D :star: Gacor,1
dewadurja,1:14:00 jadi wapress gak ada kerjaan?,1
sri hastutiningsih,nderek mangayubagyo ...,0
tukijogamin5150,Mobil ini cocok untuk kendaraan dinas saya sebagai kepala desa,0
Gunawan Sosro,ini dimana ya,0
DoriaShearer,"Prosesnya sangat cepat, terima kasih kepada PulΛᴜ𝟽𝟽𝟽.",1
23_wayansatya76,masterpiece👌,0
AhmadSetiawan-o8z,Seru abis! Tempat paling aman dan asik? 🔥⚡ALEXIS17⚡?🔥,1
Fendi 712,ngising terus mas,0
Elton Diego,KETIK DI GOOGLE:WISDOMTOTO,1
jodiofficial8027,mantap gd 👍👍👍selalu jadi panutan driftter Indonesia 😍😍😍,0
LestariPranata-n7k,Emang gak ada duanya sih ALEXIS⭐17⭐ ini.,1
wolfordzoey-i4e,"berkah rezeki berkat 𝐒𝐆𝐈𝟖𝟖 , puji syukur !",1
Alfinjauza25,"S15 MESIN R35 ❤, samaa GTR R35 emasss damn",0
Salma nur fadila,sopo ngelak aku bakol es,0
Thilina Fernando,KETIK DI GOOGLE:WISDOMTOTO,1
LestariAyuningtyas-s5q,"Sejak kenal ALEXIS⭐17⭐, gue jadi punya tabungan buat masa depan.",1
SIGMATANIC66,Ken block banget asli,0
Gerem narzary,100RB GRATIS WISDOMTOTO:fire:,1
ii information Technology ii Pk,FREEBET 100RB WISDOMTOTO:fire:,1
edelweiss enda,wkwk,0
Made Djogdja,hbd jogja istimewa :red_heart::red_heart::red_heart::red_heart::red_heart:,1
NewsFlix Channel,:fire:ANGKA TERBALIK DI BAYAR:fire:,0
Lucky Parihar,100RB GRATIS WISDOMTOTO:fire:,1
Dani Suyanto,g adil,0
Malak Kashifsami,100RB GRATIS WISDOMTOTO:fire:,1
BagusMo-kw9kt,Ya pasti mah lah bang wong harga ny juga mantap,0
nandirustandi5918,Kesini hanya untuk dislike saja,0
kingki1953,Baru kali ini gw tertarik nonton komen ketimbang isi videonya 🤣,0
EVERETTEAlbright,"Gokil sih P U L A U 7 7 7, Gacir pol bro!",1
YOUKNOWlMHERE,main ps5 keknya josss,0
Putuinla Jamir,:fire:ANGKA TERBALIK DI BAYAR:fire:,0
Aniah Naifa,HBD jogja kuhh:hands-yellow-heart-red:,0
Bydin Tog,youki karnaval . . timbang salon horeg ganok faedah e,0
budiyantozakir,modal alexis17 bermanfaat .,1
Sandeep Kumar,KETIK DI GOOGLE:WISDOMTOTO,1
EkoNugroho-y9l,"kalo coding , 𝘼𝙇𝙀𝙓𝙄𝙎17 juaranya .",1
CintronMayberry-d3t,🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 tempat paling uhuy!,1
ShinobuAe_,FREEBET 100RB WISDOMTOTO:fire:,1
Islamic ,Main PAS4D :star: Gampang Menangnya,1
Bagusqksi,"daftar , maen sebentar , lgsng jepe",1
My Mini Adventure,"ning nong ning gung pak Bayan....Jogja, tetaplah nyaman untuk kami semua yaaa...",0
Lintang Resti Resti,WOAWWW,0
Marken_ d,KETIK DI GOOGLE:WISDOMTOTO,1
R M DJ MUSIC ,100RB GRATIS WISDOMTOTO:fire:,1
keannudandossi7613,"@syhrzlsyhrzl  gaa kok. dari dulu emang sama GM Company, ga pernah di chrysler",0
Demo Anambelas,kostumnya mirip yg dipakai carnaval di gunung kidul,0
Shorts Feed 🙂,FREEBET 100RB WISDOMTOTO:fire:,1
YT PASHA,rapopo 10rb setahun pisan we kok:face_with_tears_of_joy::face_with_tears_of_joy:,0
AldiMarlina-n3u,🔥ＡＬＥＸＩＳ１７🔥 Bikin auto happy!. Gaskeun!,1
TiffanyLittleansen-e3j,busett cerahh banget 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 encess koinya ngasih mulu,1
mukhlisina8,"@mascar007  konoha bos , kalo jd buzzer yg teliti",1
hasanul nasif alfikri,ga keliatan woi,0
DaniKartika-h7j,momen horornya bikin kaget ! alexis17 lompat .,1
danielliman1911,"Kasihan wapres ini,… ngga malu jg",1
Laura Fia,happy birthday jogjaku semoga selalu dihati:smiling_face_with_hearts:,0
TRISIYANA SIWANDITA,jogja istimewa,1
PetersKapur-h5z,Akhirnya yg di tunggu2😁 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓,1
frhmthmnnh,"bergerak langsung wawancara 3 jam lebih, و sangat mengagetkan ya",1
tejaeduchannel6759,"ｐｕｌａｕｗｉｎ kayak mana-mana ya , meresap banget .",1
Sannu Bi,Dapatkan Bonus Chip Gratis Setiap Hari di PAS4D!,1
rita koerniasari,penonton sudah banyak yg tumbang itu min,0
Hobicat,FREEBET 100RB WISDOMTOTO:fire:,1
rizkysamara8541,Pengen beli tapi kalah sama kebutuhan 😭,0
Raziq Ramadhan,padahal rumah neneku belakang tugi tapi males aja kesana karang mesti wes kebak:loudly_crying_face::moai:,0
yusepsetiawan9356,Prompter ini. 😂,0
retnowulandari1637,Hoooo....cariin kerjaan dong?bapak saya bukan presiden soalnya,0
Johnnie Boyles,𝗱𝗽 𝟭𝟬𝟬 𝗷𝗱 𝟮𝗷𝘁 buruan gas di :fire: 𝗠𝗘𝗧𝗘𝗢𝗥𝗪𝗜𝗡 :fire:,1
gamer👍👍,KETIK DI GOOGLE :fire:WISDOMTOTO:fire:,1
TaeChenSjVdTD6,𝐊𝐨𝐢𝐒𝐋𝐎𝐓 ngasih spesial gabung !,1
muhammadfatonisuharto9703,Penisirin.. yg bikin skripnya orangnya ky gmn ya.. 😅,0
Kaila Aminarta,nderek mangayubagyo dinten dumadining kutho ngayogyakarto hadiningrat,0
Gautam ,FREEBET 100RB :fire:WISDOMTOTO:fire:,1
LucasvrVh2,"d 𝘌 𝐖 𝘈 𝐷 o 𝙍 𝐀bikin hidup asyik , rezeki henti !",1
jobar1694,Om di pin aja salah satu komen biar komen judol ga papling atas,0
SalmandwhPa,"wede cepat , pelayanan ramah banget",1
Indri Tri,opo ra ribut meh muloh si byan pas kae,0
Khayla Almira,"salam dari Jogja yes,yes,yes",0
Adit Yoga,BLOKIR SLOT,1
sirjan singh,Main PAS4D :star: Gampang Menangnya,1
Study Material,KETIK DI GOOGLE:WISDOMTOTO,1
mhadi7037,Brp ratus ribu udah yg dislike nih so gak kliatan😂,0
Raju Chacha,KETIK DI GOOGLE:WISDOMTOTO,1
BrandaPrado-s6e,"𝔭𝔲𝔩𝔞𝔲𝟽𝟽𝟽 ? TERBAIKK, jepe terus bro!",1
AyuYuliani-d9i,Mau tau rahasia sukses anak muda jaman now? Ya ALEXIS⭐17⭐ lah!,1
Mwangitalaigua-n1d,"jepey trs tiap hari, cuma di𝗪𝗘𝗧𝗢𝗡𝟴𝟴",1
JupriAdi98,"Rakyat pas di media sosial 😠😡😤
Rakyat pas ketemu orangnya 😁😊🙂🥲",0
Beasleykagalo-t2d,"serius deh , rezeki 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 diundang . penasaran ? coba !",1
gunturkusumawardani8995,Nonton video malah punchline nya di komentar.. 😂😂😂😂,0
mamano.k.5916,Whatever it takes to took mulyono down man…,0
alahmdiHansrod-m7i,"А𝐗𝐿𝟳7𝟽 aku cba2 bentar, saldo lgnsung gede",1
nituru,"Meetnitelive : serius amat tanya jawabnya, langsung dimasak aja🎉🎉🎉",1
Binayak Raj Patel,:fire:ANGKA TERBALIK DI BAYAR:fire:,0
5k subs no video Challenge,SLOT GACOR:fire: WISDOMTOTO:fire:,1
satyapararaton3197,Komen lu harus naik bang! Biar gue bantu.,0
Hp News 99,FREEBET 100RB WISDOMTOTO:fire:,1
yoyoyoyoyo,KETIK DI GOOGLE :fire:WISDOMTOTO:fire:,1
6G0D_, @falihrahman9340 ngomong apa njg wkwk,0
DimasRamadhan-i3n,gue sih udah buktiin kekuatan alexis17 .,1
Hacker Hu,FREEBET 100RB :fire:WISDOMTOTO:fire:,1
Nabiln4t9v,"game-nya gacor banget , lgsng jepek",1
Mas Basir Sutiyo,semoga kota Jogja selalu menjadi kota pelajar yang lebih maju dan unggul,0
baktiantomansur,"sehari join alexis17 , gue udah dapet cuan beli laptop !",1
AlaniAhmad-h9x,"bandar weton88 auto , sultan gacur",1
Santhosh Chantu ABG,FREEBET 100RB WISDOMTOTO:fire:,1
machadocoull-g1q,"А𝐗𝐿𝟳7𝟽 aku main iseng, malah jadi seru",1
KaeliraciBeO,"gachor mulu, ga pernah rugi di A 𝙀 𝙍 O 𝟴 𝟪",1
Ariful Islam,Dapatkan Bonus Chip Gratis Setiap Hari di PAS4D!,1
TrisnoAlphino,Ternyata isinya iklan semua😊 alhamdulilah.. Mkasih mas..,0
DewiHasibuan-o6o,Seru abis! ⚡ALEXIS17⚡ emang gak pernah ngecewain!,1
TamaraSmith-g9l,semoga berkah99 nomor !,1
oi,YT series...bilang gak seru tp nonton terus km,0
sabianlukman,"sebulan gabung alexis17 , gue udah beli tanah kavling !",1
Raja Singh,FREEBET 100RB :fire:WISDOMTOTO:fire:,1
SakurasbVqL,"sketer , jepek",1
capilkewalik1687,"hpnya jatuh , auto koma",1
FXT IFTAKHAR ,SLOT GACOR:fire: WISDOMTOTO:fire:,1
Angger,la nungu berapa lama,0
tohidsaifi2523,bang sattt lah-Ga ru da-Ho ki Gacoor bgt jadi candu gua😤,1
yirfa tedc,FREEBET 100RB :fire:WISDOMTOTO:fire:,1
Ancient Aliens,KETIK DI GOOGLE :fire:WISDOMTOTO:fire:,1
Yavuzilyas,temen kantor sampe penasaran gue happy — ya 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 .,1
WahyuGunawan-s5w,udah coba 𝘼𝙇𝙀𝙓𝙄𝙎17 ? ? !,1
Sumarni New,Dari Griya Intan Permai :index_pointing_up:,0
iballbeuh,semangat terus bg dipo😁,0
faa3457-k9l,di akhir vidio ada nomornya mas,0
azamalfisah,gasss bikin konten motor biar jadi ngaberssssss,0
Pawan Lawa,SLOT GACOR:fire: WISDOMTOTO:fire:,1
dwarfish chana chanel,shopefood. . .. grabfood. . . . hadirrr goleki ra yoooo,0
safir89,No respect,0
Deepak Singh ,FREEBET 100RB :fire:WISDOMTOTO:fire:,1
bakulmobilbekasmurah,mas kapan punya bus slepper buat wisata 😊😊😊,0
samsheransari8953,"gue mikir aplikasi , orang ngomongin pulauwin ?",1
udinmustaine,WKWKWKWKWKW,0
DR GHOST YT,FREEBET 100RB :fire:WISDOMTOTO:fire:,1
bahuwarnagunarto,alexis17 emang berbeda,1
AldiPermadi-b1p,ALEXIS-17☯ emang ga main-main soal keamanan data member,1
SIGMATANIC66,Yang ntn ulang abis ntn yang abis tabrakan siapa ni😢,0
nananina,aku sng asli jogja arep ndelok tp rasido mrgo rame,0
GAMING_GALAXY,KETIK DI GOOGLE :fire:WISDOMTOTO:fire:,1
Andy Pramadie,weh dodolan to,0
Shally Hafa,Is donk..ko in sih,0
Alfi Septiani,drone kecepeten ya ampun,0
D_dompa,Berharap setelah dia turun bukan Fufufafa yang naik,0
Oren,emang iya ,0
spamberuang2367,head 2 head sama KDM bakal kalah kalow modelnya popularitas,0
DANGER GAME,100RB GRATIS WISDOMTOTO:fire:,1
HaikalFaraby-qc6ne,"Best, ini gokil banget sih🔥👍🏻",0
janganliatchannelini,Nunggu yang lipet 4 aja deh,0
tapitapitapi3,coba jelasin qpa yg kamu ngerti dari jawaban bapak presiden itu ​ @MuhammadMudayin ,1
AngelineRobersonansen-i2i,"kerennn contentnya bang , cari situs 𝗪𝗘𝗧𝗢𝗡𝟴𝟴",1
BANDIT FF,KETIK DI GOOGLE :fire:WISDOMTOTO:fire:,1
Milan Joby,100RB GRATIS WISDOMTOTO:fire:,1
AMO MI PAIS,FREEBET 100RB :fire:WISDOMTOTO:fire:,1
ilyas zahiri,KETIK DI GOOGLE:WISDOMTOTO,1
Dc Samy,100RB GRATIS WISDOMTOTO:fire:,1
dhikdaya11,dari komentar2 saya percaya pak probowo gak punya buzzer,1
Downee,Lek nyuting bingung saking ramene,0
EkoSantoso-e9b,temen gue bilang alexis17 tuh bikin nagih parah !,1
Dayan B,KETIK DI GOOGLE:WISDOMTOTO,1
Theresia Angela Berlin,tadi cuma tari tari ya?,0
จิตตภูมิกาฬสินธุ์,ges doain ya gw coba stop maengaruda-ho ki kecanduan bgt gacor nya gw,1
La ñañita,FREEBET 100RB WISDOMTOTO:fire:,1
mommyayuikhwani,"Ya Allooh, ditanya apa jawabnya apa...
Ampyuuuuun deeh...",1
fahrezam4812,iWasir... I was hereeeee,1
Rafellio Adjio Rajendra,selamat ulang tahun Jogja yang ke 268,0
akhongoz8033,tahi sekali,0
Dipak Das,NewMember :star:PAS4D Pasti Jp SUDAH PASTI,1
arielnoah4585,yang belum rasain maxwin GA RU DA SATU TIGA DELAPAN..Sudah Pasti Jepe💗,1
Rd. Kn,Enakan nonton live nek kene ora nganti semaput lurrr,0
Lakshit gaming LP,KETIK DI GOOGLE :fire:WISDOMTOTO:fire:,1
Adenaa,"padahal tugu deket bgt sm rumah tp ga kebagian tempat, kayak tahun lalu.",0
itz_karan_thakur,100RB GRATIS WISDOMTOTO:fire:,1
juwanbrunner-n7x,emng bener kemarin udah coba probet gas ahh 𝗦𝗚𝗜𝟴𝟴 kawan berbuah manis,1
RanggaSari-b9g,gue sih yes 𝘼𝙇𝙀𝙓𝙄𝙎17 . ?,1
feliciaa,ws full drgyo iki daerah tugu?,0
widian nurin,hadir,0
FajarOktarina-e9h,ALEXIS-17☯ tuh emang paling ngerti kebutuhan membernya,1
